id,nombre,email,telefono,tipo
1,Esmeralda Quiñónez Reséndez,zelayaruben@crespo.org,097-320-6697x90053,Corporativo
2,Jaqueline José Emilio Mejía Calderón,yolandaamador@paez.org,+57(3)1476491937,Corporativo
3,Lic. Claudia Salazar,pcordova@yahoo.com,126.338.1754x1070,Individual
4,Tomás Alejandra Narváez Sanabria,mariaangulo@alvarez.info,(553)204-6091x46192,Individual
5,Berta Germán Orellana Roque,ncarrera@hotmail.com,1-526-121-8854x45025,Individual
6,Carolina Clara Trujillo,jacinto99@gmail.com,591-295-7694x316,Individual
7,Inés Salinas Carmona,enriquerojas@mares-caraballo.com,417.655.9460,Individual
8,Hermelinda Juana Aponte,nataliagallardo@hotmail.com,00152317672,Individual
9,Florencia Héctor Jáquez Fonseca,ireneabreu@yahoo.com,(567)083-1272x284,Individual
10,Ana Rivera Peralta,ncotto@hotmail.com,736-369-8764,Corporativo
11,Teresa Casanova,vacapedro@yahoo.com,08217721040,Individual
12,Amador Guzmán,candelariaadriana@yahoo.com,(951)319-8257,Corporativo
13,Esparta María Piña Curiel,jaramilloisaac@palomo.org,(149)134-9055x2266,Corporativo
14,Octavio Peralta Armenta,minerva34@gmail.com,+90(7)0773435110,Corporativo
15,Mitzy Tomás Holguín,velezbruno@corporacin.net,(788)328-9860x6929,Individual
16,Gilberto Sevilla Anaya,iglesiasmarcela@yahoo.com,072-258-3724x95969,Individual
17,Isabela Palomo Mireles,luzarevalo@mateo-estrada.com,1-262-729-4771x991,Corporativo
18,Esparta Pedroza Godínez,ibarragregorio@fernandez-escalante.com,536-744-9493,Corporativo
19,Mónica Polanco,tania86@yahoo.com,735-502-7990x030,Corporativo
20,Sr(a). Bianca Cano,rocio67@hotmail.com,1-342-471-2034,Corporativo
21,Eva Carreón,robertocasarez@toro-ruiz.com,00029924872,Individual
22,Luisa Alicia Tejada Robles,osaiz@campos-valles.biz,+81(7)0344678973,Corporativo
23,Rodrigo Ramón Fonseca Juárez,jose-manuelchacon@orellana-cavazos.info,1-250-001-9577x01472,Individual
24,Marisol Estela Benavídez Hurtado,maderacitlali@industrias.com,1-217-416-8549x2050,Individual
25,Mtro. Cecilia Mercado,soledadgodinez@hotmail.com,05989611995,Individual
26,Teodoro Vicente Figueroa Lira,ibenavides@yahoo.com,1-410-820-9858x0106,Individual
27,Nelly María Eugenia Garica,trinidadgracia@hotmail.com,(105)886-2154x71420,Individual
